# AF, BMS 4.32, BMS 4.33, BMS 4.34, BMS 4.35, BMS 4.36
###################################
# A-A Missiles
###################################
AA-1, AA-1 (R-55)
AA-2C, AA-2B (R-3R)
AA-2D, AA-2C (R-13M)
AA-6, AA-6B (R-40T)
AA-6R, AA-6A (R-40R)
AA-7, AA-7B (R-23T)
AA-7R, AA-7A (R-23R)
AA-8, AA-8 (R-60)
AA-9, AA-9 (R-33) 
AA-10A,  AA-10A (R-27R)
AA-10B, AA-10B (R-27T)
AA-10C, AA-10C (R-27ER)
AA-10D, AA-10D (R-27ET)
AA-11, AA-11 (R-73)
AA-12, AA-12 (R-77)
AAA-4*, AAA-4
AAM-3*, AAM-3
Aim-4C, AIM-4C
Aim-4C*, AIM-4C
Aim-4D, AIM-4D
Aim-4D*, AIM-4D
AIM-4G*, AIM-4G
AIM-7D*, AIM-7D Sparrow
AIM-7D, AIM-7D Sparrow
AIM-7E*, AIM-7E Sparrow
AIM-7E, AIM-7E Sparrow
Aim-7E-2, AIM-7E-2 Sparrow
Aim-7E-2*, AIM-7E-2 Sparrow
AIM-7E-2, AIM-7E-2 Sparrow
AIM-7F*, AIM-7F Sparrow
AIM-7F, AIM-7F Sparrow
AIM-7M, AIM-7M Sparrow
Aim-9B, AIM-9B Sidewinder
Aim-9B*, AIM-9B Sidewinder
AIM-9B, AIM-9B Sidewinder
Aim-9D, AIM-9D Sidewinder
Aim-9D*, AIM-9D Sidewinder
AIM-9D, AIM-9D Sidewinder
Aim-9E, AIM-9E Sidewinder
Aim-9E*, AIM-9E Sidewinder
AIM-9E, AIM-9E Sidewinder
Aim-9G, AIM-9G Sidewinder
Aim-9G*, AIM-9G Sidewinder
AIM-9G, AIM-9G Sidewinder
Aim-9H, AIM-9H Sidewinder
Aim-9H*, AIM-9H Sidewinder
AIM-9H, AIM-9H Sidewinder
Aim-9J, AIM-9J Sidewinder
Aim-9J*, AIM-9J Sidewinder
AIM-9J, AIM-9J Sidewinder
AIM-9L, AIM-9L Sidewinder
AIM-9M, AIM-9M Sidewinder          
AIM-9P, AIM-9P Sidewinder
AIM-9X, AIM-9X Sidewinder
AIM-54A, AIM-54A Phoenix
AIM-54C, AIM-54C Phoenix
